Ticker,Name,Sector,Industry,Price,MarketCap,PriceChg1Y,PriceChg3Y,PriceChg5Y,PriceChg10Y,Sales_D,Sales_Pct,Profits_D,Profits_Pct,Q,P,O,Score_Sector,Score_Sector_Adj,Score_Ind,Score_Ind_Adj,Rank_Sales_D,Rank_Price3Y,Rank_Sales_TotalShare,Rank_Profits_D,Rank_Sales_D_Sec,Rank_Price3Y_Sec,Rank_Sales_D_Ind,Rank_Price3Y_Ind,Sales_D_SecShare,Sales_D_IndShare,OnGRNJ
KBH,KB Home,Consumer Discretionary,Household Durables,47.845,2933.36,-0.2742,-0.0169,0.0275,0.1239,-1169.1966052376338,-0.11736455315007033,-156.67000000000002,-0.3653769910678887,,,0,497.3333333333333,1000.0,54.333333333333336,1000.0,1273.0,942.0,342.0,1242.0,137.0,82.0,14.0,12.0,-0.01845478078107401,-0.3368255126090256,False
KBR,KBR Inc.,Industrials,Professional Services,36.482,4599.2,-0.2676,-0.1516,-0.0145,0.0957,-324.3064499322709,-0.008091446185461093,9.0,0.02168674698795181,,,0,547.6666666666666,1000.0,88.66666666666667,1000.0,1234.0,1158.0,237.0,780.0,214.0,195.0,28.0,24.0,-0.0028742661445329194,-0.026063870823072013,False
KD,Kyndryl Holdings Inc.,Information Technology,IT Services,12.828,2794.17,-0.6041,-0.0879,,,-93.37432078889105,-0.008282533792737912,-111.0,-0.5606060606060606,,,0,499.0,1000.0,66.0,1000.0,1185.0,1083.0,107.0,1214.0,174.0,138.0,14.0,10.0,-0.0009812347296256207,-0.02282533330323558,False
KEEL,Keel Infrastructure Corp.,Information Technology,Software,3.615,2232.53,1.0657,0.4349,-0.0828,,14.755058519952058,-0.17943126308443835,-149.29999999999995,0.5247065438954099,,,0,417.6666666666667,417.6666666666667,75.33333333333333,75.33333333333333,1071.0,151.0,1249.0,1239.0,151.0,31.0,66.0,9.0,0.00015505522005529668,0.0011070545356129439,False
KEX,Kirby Corporation,Industrials,Marine Transportation,138.93,7335.5,0.5971,0.1811,0.2198,0.0948,214.8147597597599,0.03727055186456796,0.660000000000025,0.0018614095947204756,,,0,261.6666666666667,261.6666666666667,42.333333333333336,42.333333333333336,585.0,420.0,514.0,868.0,124.0,76.0,1.0,2.0,0.0019038622002504032,1.0,False
KEY,KeyCorp,Financials,Banks,21.636,23088.39,0.1251,0.2428,0.0172,0.0584,2628.977354606279,0.051948051948051965,201.0,0.10989611809732103,,,0,33.666666666666664,1000.0,9.0,1000.0,39.0,336.0,254.0,154.0,7.0,55.0,1.0,19.0,0.01431470910020514,0.11059313372643922,False
KFY,Korn Ferry,Industrials,Professional Services,77.91,3913.03,0.0714,0.1701,0.0134,0.1308,191.53254933133803,0.01646792572236344,2.329999999999984,0.008398514940705759,,,0,280.0,1000.0,51.333333333333336,1000.0,627.0,447.0,592.0,854.0,134.0,79.0,17.0,3.0,0.0016975164145952616,0.015393093863005879,False
KGS,Kodiak Gas Services Inc.,Energy,Energy Equipment and Services,64.004,6471.06,0.9146,0.5308,,,105.88739443777149,0.0645134164054737,-0.12999999999999545,-0.0016145057128663654,,,0,292.6666666666667,292.6666666666667,21.666666666666668,21.666666666666668,824.0,112.0,866.0,874.0,50.0,4.0,12.0,3.0,0.0012765621855046023,0.03430762210919343,False
KHC,The Kraft Heinz Company,Consumer Staples,Food Products,24.323,28842.79,-0.0873,-0.0961,-0.0771,-0.1185,-410.0223622687554,-0.0016839066634591893,2450.0,-0.4190899760520014,,,1,442.0,1000.0,26.333333333333332,1000.0,1244.0,1097.0,47.0,5.0,47.0,35.0,19.0,13.0,-0.005810587799034831,-0.00871704743405371,False
KIM,Kimco Realty Corporation,Real Estate,Retail REITs,23.446,15768.56,0.0514,0.0804,0.0211,-0.0209,92.37853941193362,0.021966057978057396,22.389999999999986,0.03829052228340801,,,0,308.3333333333333,1000.0,16.666666666666668,1000.0,858.0,702.0,705.0,630.0,40.0,27.0,4.0,6.0,0.0038495988892560643,0.09892034563226286,False
