Ticker,Name,Last Price,Market Cap,Trading Region,Trading Country,Below 52W High %,Revenues Est Avg Rev % (FY1E - 1W),Revenues Est Avg Rev % (FY1E - 1M),Revenues Est Avg Rev % (FY1E - 3M),Revenues Est Avg Rev % (FY1E - 6M),Revenues Est Avg Rev % (FY1E - 1Y),Revenues Est Avg Rev % (FY2E - 1W),Revenues Est Avg Rev % (FY2E - 1M),Revenues Est Avg Rev % (FY2E - 3M),Revenues Est Avg Rev % (FY2E - 6M),Revenues Est Avg Rev % (FY2E - 1Y),Revenues Est Avg Rev % (FY3E - 1W),Revenues Est Avg Rev % (FY3E - 1M),Revenues Est Avg Rev % (FY3E - 3M),Revenues Est Avg Rev % (FY3E - 6M),Revenues Est Avg Rev % (FY3E - 1Y),Revenues - Est Avg (FY1E),Revenues - Est Avg (FY2E),Revenues - Est Avg (FY3E),Total Revenues (-1FY),Total Revenues (-2FY),Total Revenues (-3FY),Total Revenues (-4FY),Total Revenues (-5FY),Total Revenues (-6FY),Total Revenues (-7FY),Total Revenues (-8FY),Total Revenues (-9FY),Total Revenues (-10FY),Sector,Industry,Description
TOT,Total Energy Services Inc.,36.8,949.95,United States and Canada,CA,-0.029,-0.0082,-0.0238,0.073,0.1506,0.2038,-0.0082,-0.0238,0.1065,0.1284,0.3335,-0.0082,-0.0238,0.1151,0.1698,0.3612,958.51,1045.43,1078.97,630.72,673.52,561.18,341.29,287.44,583.29,624.05,480.96,147.3,204.11,Energy,Energy Equipment and Services,Total Energy Services Inc. operates as an energy services company primarily in Canada the United States Australia and internationally. It operates through Contract Drilling Services Rentals and Transportation Services Compression and Process Services and Well Servicing segments. The Contract Drilling Services segment operates a fleet of various drilling rigs supported by a fleet of owned top drives walking systems pumps and other ancillary equipment. The Rentals and Transportation Services segment provides a fleet of heavy trucks ancillary rental equipment and access matting. The Compression and Process Services segment offers natural gas compression equipment as well as oil natural gas and other process equipment. The Well Servicing segment provides well-servicing rigs as well as completion workover maintenance and abandonment services. It also engages in the fabrication sale rental and servicing of new and used natural gas compression and oil and natural gas process equipment. Total Energy Services Inc. was incorporated in 1996 and is headquartered in Calgary Canada.
WILD,WildBrain Ltd.,1.18,177.44,United States and Canada,CA,-0.4709,-0.0082,-0.0238,0.0086,-0.0497,-0.5205,-0.0082,0.0277,0.066,-0.0404,,,,,,,203.72,216.07,,337.54,402.25,394.03,365.02,313.52,335.81,330.45,230.36,234.84,211.62,Communication Services,Entertainment,WildBrain Ltd. together with its subsidiaries develops produces and distributes films and television programs in Canada the United States the United Kingdom and internationally. It operates through Content and Audience Engagement; and Global Licensing segments. The company focuses on children’s and family content including animated series; provides content production and distribution services; and sells advertising ad-supported video-on-demand (AVOD) platforms. It also licenses rights of new proprietary series or pre-sells shows that are in development to individual streaming services broadcasters and other media platforms; manages copyrights; and re-licenses rights of existing series in the library or packages of programs of its own proprietary titles as well as third-party produced titles. In addition the company operates as entertainment sport and brand licensing agency for the company’s own and operated brands; and offers publishing music rights and live tours. Further it licenses and offers library under the Peanuts Strawberry Shortcake Teletubbies Yo Gabba Gabba! Degrassi Bob the Builder Sonic Cloudy with a Chance of Meatballs Fireman Sam In the Night Garden Inspector Gadget Slugterra and Polly Pocket. Additionally the company offers its content for streaming services broadcasters on-demand services and home entertainment companies; and conventional and specialty terrestrial and cable/satellite television broadcasters as well as for other media platforms and digital providers; and builds true-to-life and conversational character AIs for IP owners and their license partners. The company was formerly known as DHX Media Ltd. and changed its name to WildBrain Ltd. in December 2019. WildBrain Ltd. was incorporated in 2004 and is headquartered in Toronto Canada.
BIR,Birchcliff Energy Ltd.,6.28,1222.31,United States and Canada,CA,-0.2332,-0.0082,-0.0238,0.0068,-0.0214,-0.0732,-0.0082,-0.0238,0.0147,0.0285,0.191,,,,,,579.26,623.93,,418.34,528.26,884.64,693.81,411.8,466.88,427.2,420.16,235.83,220.37,Energy,Oil Gas and Consumable Fuels,Birchcliff Energy Ltd. an intermediate oil and natural gas company engages in the exploration development and production of natural gas light oil condensate and other natural gas liquids in Western Canada. The company holds 91% working interest in the Pouce Coupe area is located northwest of Grande Prairie Alberta; and 75% working interest in the Gordondale area is located northwest of Grande Prairie Alberta. It also holds interest in Elmworth area located in west of Grande Prairie Alberta. Birchcliff Energy Ltd. was founded in 2004 and is headquartered in Calgary Canada.
ET,Evertz Technologies Limited,12.08,648.66,United States and Canada,CA,-0.4381,-0.0082,-0.0412,-0.0113,-0.0477,-0.0368,-0.0082,-0.0416,-0.0021,-0.0362,-0.0621,,,,,,374.9,393.46,,363.91,373.79,335.57,343.29,278.94,313.6,331.08,313.76,281.64,304.25,Information Technology,Communications Equipment,Evertz Technologies Limited engages in the design manufacture and distribution of video and audio infrastructure solutions for the production post-production broadcast and telecommunications markets in Canada the United States and internationally. The company offers contribution and distribution encoder decoder receiver and processing products; and control panels intelligent operations and controls big data analytics and network management systems as well as orchestration monitoring and analytics solutions. It also provides video encoders and decoders and multiplexing products comprising encoders/transcoders decoders multiplexers monitoring and auto-changeover products and enterprise products; optical media transport products; and audio consoles and processing products such as mixing consoles routing and I/O products summing and processing products and IP audio gateways. In addition the company offers asset management and playout products consisting of asset management ingest playout and branding transcoding/conforming and framerate conversion products; live media production products; routers; flexible media edge products; and IP audio/video processing media gateway switch routing timing and software defined network orchestration products. Further it provides multiviewers solutions comprising IP multiviewers SDI multiviewers MVP and accessories; radio frequency (RF) products; router control panels; timing and synchronization products; and infrastructure and conversion products. The company serves content creators broadcasters specialty channels and television service providers. Evertz Technologies Limited was founded in 1966 and is headquartered in Burlington Canada.
MRU,Metro Inc.,90.67,13479.4,United States and Canada,CA,-0.1049,-0.0082,-0.0238,-0.0008,-0.0352,-0.0275,-0.0082,-0.0238,0.0059,-0.0277,-0.0138,-0.0082,-0.0238,0.0094,-0.0205,-0.0122,15982.11,16612.62,17315.76,15698.68,15258.42,13896.97,14444.97,13445.52,12660.45,11134.39,10558.23,9708.91,9175.92,Consumer Staples,Consumer Staples Distribution and Retail,Metro Inc. through its subsidiaries operates as a retailer franchisor distributor and manufacturer in the food and pharmaceutical sectors in Canada. The company operates supermarkets discount stores neighbourhood stores specialized stores and pharmacies that provide fresh and grocery products baked goods prepared food products meats dairy products fruits and vegetables frozen food products bakery products prepared meals delicatessen items fruits and vegetables frozen products and pastries. It also manufactures ready-to-eat meals salads dips pastries pies breads and cakes; generic drugs under Pro Doc trademark; and provides online grocery shopping services. In addition the company offers its private label food products under Irresistibles Selection Harvest Best Lucky Koi Life Smart Adonis Phoenicia and Premiere Moisson brands; and private label drug products comprising beauty and cosmetic products over-the-counter medications health & beauty cosmetics and baby categories sold under the Personnelle brand name. It operates a network of food stores under various banners including Metro Metro Plus Adonis Super C Marché Richelieu Marché Ami Première Moisson Les 5 Saisons and Food Basics as well as pharmacies primarily under the PJC Jean Coutu PJC Santé PJC Santé Beauté Brunet Brunet Plus Brunet Clinique Clini Plus Metro Pharmacy and Food Basics Pharmacy banners. The company was founded in 1947 and is headquartered in Montreal Canada.
MATR,Mattr Corp.,21,913.1,United States and Canada,CA,-0.0415,-0.0082,-0.0238,0.1041,0.1077,0.0702,-0.0082,-0.0238,0.1368,0.126,0.0733,-0.0082,-0.0238,0.0622,0.0761,0.0657,1016.93,1092.7,1153.46,615.79,664.57,636.5,903.89,926.17,1147.09,1032.16,1245.24,900.54,1304.99,Industrials,Electrical Equipment,Mattr Corp. operates as a materials technology company that serves the infrastructure markets including electrification transportation mining energy communication and water management markets in Canada the United States Europe the Middle East Africa and the Asia Pacific. It operates in two segments: Composite Technologies and Connection Technologies. The Composite Technologies segment manufactures flexible composite pipes used for oil and gas gathering lines and other applications under the Flexpipe brand; and fiberglass reinforced plastic fuel and water underground storage tanks as well as HydroChain stormwater management products including infiltration chambers for the retail fuel water stormwater and wastewater and oil and gas markets under the Xerxes brand. The Connection Technologies segment manufactures heat-shrinkable products including thin medium and heavy-walled tubing; sleeves and molded products as well as heat-shrink accessories and equipment; manufacturers of engineered; and low-voltage wires cables connectors and harness solutions for control instrumentation thermocouple power and industrial automation applications. The company was formerly known as Shawcor Ltd. and changed its name to Mattr Corp. in January 2024. Mattr Corp. was incorporated in 1968 and is headquartered in Vaughan Canada.
MRGUN,Morguard North American Residential Real Estate Investment Trust,14.75,545.82,United States and Canada,CA,-0.2257,-0.0082,-0.0238,0.0106,-0.0299,-0.0501,-0.0082,-0.0238,0.0159,0.0115,-0.0083,-0.0082,-0.0238,,,,251.65,270.77,278.27,242.85,254.17,210.01,196.32,187.68,189.21,177.6,180.16,162.7,143.02,Real Estate,Residential REITs,Morguard North American Residential Real Estate Investment Trust is an unincorporated open-ended real estate investment trust which owns through a limited partnership interests in Canadian residential apartment communities located in Alberta and Ontario and U.S. residential apartment communities located in Colorado Texas Louisiana Illinois Georgia Florida North Carolina Virginia and Maryland. Morguard North American Residential Real Estate Investment Trust was established in 2012 and was incorporated in Canada.
T,TELUS Corporation,12.04,13567.62,United States and Canada,CA,-0.455,-0.0082,-0.0251,-0.0255,-0.0694,-0.0786,-0.0082,-0.027,-0.0423,-0.0897,-0.1033,-0.0082,-0.0402,-0.067,-0.1103,-0.1464,14254.95,14328.74,14387.25,14007.89,15098.46,13510.1,13315.62,12056.55,11235.36,10326.16,10583.13,9476.33,8958.69,Communication Services,Diversified Telecommunication Services,TELUS Corporation together with its subsidiaries operates as a telecommunications company in Canada and internationally. It operates through TELUS Technology Solutions TELUS Health and TELUS Digital Experience segments. The company offer technology solutions comprising mobile and fixed voice and data telecommunications services and products; and agriculture and consumer goods services such as software data management and data analytics-driven smart-food chain and consumer goods technologies as well as sells mobile technologies equipment. It also provides data services consisting of internet protocol; television; hosting; managed information technology and cloud-based services; and home and business security and automation. In addition the company offers integrated health and well-being products solutions and services such as healthcare services; and software and technology solutions including employee and family assistance programs and benefits administration. Further it provides digitally enabled customer experience solutions including digital customer experience management and the digital transformation of IT and customer experience systems; digital trust safety and security; AI data services; and generative AI solutions in customer experience. The company was formerly known as TELUS Communications Inc. and changed its name to TELUS Corporation in February 2005. TELUS Corporation was incorporated in 1998 and is based in Vancouver Canada.
FCRUN,First Capital Real Estate Investment Trust,22.81,3439.08,United States and Canada,CA,-0.0432,-0.0082,-0.0238,0.0089,-0.0088,0.006,-0.0082,-0.0238,0.0034,-0.0202,-0.0045,,,,,,543.32,551.92,,495.65,567.61,526.02,540.76,531.44,598.42,574.69,608.33,526.68,492.31,Real Estate,Retail REITs,First Capital Real Estate Investment Trust is an unincorporated open-ended mutual fund trust. First Capital owns and operates acquires and develops open-air grocery-anchored shopping centres in neighborhoods with the strongest demographics in Canada. The Trust is listed on the Toronto Stock Exchange. On November 24 2025 the Trust’s unitholders approved an internal tax reorganization that was completed by way of a plan of arrangement (the Arrangement). The Arrangement simplified First Capital’s organizational structure by eliminating First Capital Realty Inc. as the Trust’s wholly owned corporate subsidiary that owned directly and indirectly all of First Capital’s real property portfolio. The Arrangement was completed and became effective on November 30 2025. Following the Arrangement First Capital now holds substantially all its real property portfolio through flow-through entities namely subsidiary partnerships and trusts. First Capital Real Estate Investment Trust is incorporated in Ontario Canada and its head office is located at 85 Hanna Avenue Suite 400 Toronto Ontario M6K 3S3. First Capital Real Estate Investment Trust was established on November 10 1993 and incorporated in Ontario Canada.
EXE,Extendicare Inc.,31.68,2135.37,United States and Canada,CA,-0.1906,-0.0082,-0.0238,0.0335,0.0217,0.3246,-0.0082,-0.0238,0.038,0.0342,0.4163,-0.0082,-0.0238,0.037,0.0236,0.4686,1636.2,1802.19,1863.39,1019.83,984.9,902.23,922.86,867.28,871.74,820.53,872.84,789.95,679.85,Health Care,Health Care Providers and Services,Extendicare Inc. through its subsidiaries provides care and services for seniors in Canada. It operates through the Long-term Care Home Health Care and Managed Services segments. The company offers long-term care services such as accommodation and meals and assistance with activities of daily living and continuing care to residents; and home health care services such as nursing care occupational physical and speech therapy and assistance with daily activities as well as management consulting and other services to third parties and joint ventures. It provides its services under the Extendicare ParaMed Extendicare Assist and SGP Purchasing Network brands. The company was incorporated in 1968 and is based in Markham Canada.
TSU,Trisura Group Ltd.,42.34,1417.68,United States and Canada,CA,-0.1698,-0.0082,-0.0238,-0.0341,-0.0792,-0.0689,-0.0082,-0.0238,-0.033,-0.0784,-0.0982,-0.0082,-0.0238,,,,2356.29,2569.05,2803.8,2223.48,2115.81,1518.62,275.68,173.49,105.28,76.18,70.19,65.58,,Financials,Insurance,Trisura Group Ltd. a specialty insurance company operates in the surety warranty corporate insurance and program and fronting businesses in Canada and the United States. The company operates in two segments: Trisura Specialty and Trisura US Programs. It offers contract surety bonds such as performance and labour and material payment bonds for construction industry; commercial surety bonds including license and permit tax and excise and fiduciary bonds; Developer surety bonds comprising bonds to secure real estate developers; and new home warranty insurance for residential homes. The company also provides directors’ and officers’ insurance for private and non-profit and public enterprises; professional liability insurance for both enterprises and professionals; technology and cyber liability insurance for enterprises; commercial package insurance for both enterprises and professionals; and fidelity insurance for both commercial enterprises and financial institutions. Trisura Group Ltd. was founded in 2006 and is headquartered in Toronto Canada.
GGD,GoGold Resources Inc.,4.29,1318.91,United States and Canada,CA,-0.0714,-0.0082,-0.0119,-0.0631,-0.2098,0.8198,-0.0082,0.0453,-0.0556,0.0514,1.2122,-0.0082,0.1079,-0.1813,-0.2331,,112.12,113.55,273.57,36.5,30.26,36.05,53.23,39.55,26.97,21.02,17.05,16.27,12.52,Materials,Metals and Mining,GoGold Resources Inc. engages in the exploration development and production of silver gold and copper primarily in Mexico It owns the Los Ricos property which includes Los Ricos South and Los Ricos North projects that covers 45 concessions with an area of approximately 24000 hectares situated in the Jalisco State Mexico; and the Parral Tailings project located in the city of Parral. The company was formerly known as Absolute Gold Holdings Incorporated. GoGold Resources Inc. was incorporated in 2008 and is headquartered in Halifax Canada.
FTG,Firan Technology Group Corporation,23.75,423.99,United States and Canada,CA,-0.1081,-0.0082,-0.021,0.0046,-0.0211,-0.0214,-0.0082,-0.0243,0.0107,-0.0046,,-0.0082,-0.0238,,,,149.26,166.78,181.97,115.76,99.64,66.63,62.11,78.87,84.81,82.35,73.4,64.87,54.05,Information Technology,Electronic Equipment Instruments and Components,Firan Technology Group Corporation manufactures and sells aerospace and defense electronic products and subsystems in Canada the United States Asia Europe China internationally. The company operates in two segments FTG Circuits and FTG Aerospace. It offers semi additive process technologies high density interconnect products high temperature rigid flex printed RF boards thermal management and rigid flex and assembly products. The company also provides aerospace chassis and assembly backlit control panels and assemblies cockpit lighting power supply cursor-controlled device integrated switch panel/keyboards/bezels and line replaceable unit/cockpit assemblies. The company was formerly known as Circuit World Corporation and changed its name to Firan Technology Group Corporation in May 2004. Firan Technology Group Corporation was founded in 1983 and is headquartered in Toronto Canada.
TI,Titan Mining Corporation,4.34,304.64,United States and Canada,CA,-0.44,-0.0082,-0.0238,0.1734,0.1299,,-0.0082,-0.0238,0.0568,0.0211,,-0.0082,-0.0238,,,,87.61,79.37,76.8,64.3,52.09,62.06,55.59,32.64,1.07,,,,,Materials,Metals and Mining,Titan Mining Corporation a natural resource company acquires explores develops produces and extracts mineral properties. The company explores for zinc and graphite as well as iron-oxide copper gold deposits. Its principal asset is the Empire State Mine project covering an area of approximately 80000 acres located in the Balmat– Edwards mining district in northern New York. The company was formerly known as Triton Mining Corporation and changed its name to Titan Mining Corporation in November 2016. Titan Mining Corporation was incorporated in 2012 and is headquartered in Vancouver Canada.
CGG,China Gold International Resources Corp. Ltd.,40.14,11284.42,United States and Canada,CA,-0.1806,-0.0082,-0.0238,0.0862,0.1798,0.5127,-0.0082,-0.0238,0.0336,0.095,0.4024,-0.0082,-0.0238,0.0441,,,1777.58,1833.42,2050.6,756.65,459.43,1104.95,1137.36,864.03,657.46,570.57,411.88,338.6,339.95,Materials,Metals and Mining,China Gold International Resources Corp. Ltd. a gold and base metal mining company acquires explores develops and mines mineral resources in the People’s Republic of China and Canada. It holds 96.5% interest in the Chang Shan Hao gold mine (CSH mine) located in Inner Mongolia China; and holds 100% interest in the Jiama copper-gold polymetallic mine that hosts copper gold molybdenum silver lead and zinc metals located in Tibet China. The company also engages in logistics and transport-related businesses and investment holding activity as well as operates an issuer of bonds. The company was incorporated in 2000 and is headquartered in Vancouver Canada.
GEI,Gibson Energy Inc.,31.4,3843.47,United States and Canada,CA,-0.0482,-0.0082,0.0001,0.1831,0.2142,0.4329,-0.0082,-0.0192,0.009,-0.0028,0.2794,-0.0082,-0.0337,0.008,0.0244,0.0279,9452.08,7766.62,7548.99,8193.66,8313.16,8150.53,5702.63,3880.85,5649.89,5015.89,4501.82,3421.29,3895.78,Energy,Oil Gas and Consumable Fuels,Gibson Energy Inc. together with its subsidiaries engages in the gathering storing optimizing and processing of liquids and refined products in Canada and the United States. It operates through Infrastructure and Marketing segments. The company operates a network of infrastructure assets that include terminals rail loading and unloading facilities gathering pipelines diluent recovery unit and crude oil processing facility. It also purchases sells stores and optimizes hydrocarbon products including crude oil natural gas liquids road asphalt roofing flux frac oils light and heavy straight run distillate. The company was formerly known as Gibson Energy Holdings ULC and changed its name to Gibson Energy Inc. in April 2011. Gibson Energy Inc. was founded in 1953 and is headquartered in Calgary Canada.
RUS,Russel Metals Inc.,83.13,3236.96,United States and Canada,CA,-0.0127,-0.0082,-0.0238,0.1002,0.0853,0.2469,-0.0082,-0.0238,0.1191,0.1353,,,,,,,4338.26,4483.5,,2963.92,3400.15,3745.04,3328.11,2112.75,2830.9,3051.33,2621.72,1920.29,2242.63,Industrials,Trading Companies and Distributors,Russel Metals Inc. engages in the distribution of steel and other metal products in Canada and the United States. The company operates through Metals Service Centers Energy Field Stores and Steel Distribution segments. The Metal Service Centers segment operates a network of metals service centers which provide metal products in various sizes shapes and specifications including carbon hot rolled and cold finished steel pipe and tubular stainless steel aluminum and other non-ferrous specialty metal products. The Energy Field Stores segment offers specialized products such as flanges valves fittings and other products to energy industry. The Steel Distributors segment sells steel products comprising carbon steel plate flat rolled products beams channels and pipes to other steel service centers and equipment manufacturers. Russel Metals Inc. was incorporated in 1929 and is headquartered in Mississauga Canada.
KMPUN,Killam Apartment REIT,17.12,1489.69,United States and Canada,CA,-0.1088,-0.0082,-0.0243,0.0058,-0.0281,-0.0273,-0.0082,-0.0268,0.0002,-0.044,-0.04,-0.0082,-0.0323,0.0042,,,279.89,286.54,296.34,255.29,264.13,244.21,230.9,206.17,187.29,158.92,149.72,131.44,121.16,Real Estate,Residential REITs,Killam Apartment Real Estate Investment Trust (Killam or the Trust) is an unincorporated open-ended mutual fund trust created pursuant to the amended and restated Declaration of Trust (DOT) under the laws of the Province of Ontario. Killam specializes in the acquisition management and development of multi-residential apartment buildings manufactured home communities (MHCs) and commercial properties in Canada. The condensed consolidated interim financial statements comprise the financial statements of Killam and its subsidiaries as at and for the three and six months ended June 30 2026. Killam's head office operations are located at 3700 Kempt Road Halifax Nova Scotia B3K 4X8. Killam Apartment REIT was incorporated in 2000 in Ontario Canada.
SPB,Superior Plus Corp.,7.28,1107.77,United States and Canada,CA,-0.1783,-0.0082,-0.0231,0.0191,-0.0356,-0.1205,-0.0082,-0.0256,0.0204,-0.015,-0.0804,-0.0082,-0.0286,0.004,0.0107,-0.0603,2403.88,2544.96,2624.4,2382.3,2482.5,2496.25,1892.09,1420.05,2197.09,2005.67,1897.09,1507.05,1623.88,Utilities,Gas Utilities,Superior Plus Corp. distributes propane compressed natural gas renewable energy and related products and services in the United States and Canada. It operates in three segments: U.S. Propane Distribution (U.S. Propane) Canadian Propane Distribution (Canadian Propane) and Compressed Natural Gas Distribution (CNG). The company distributes propane gas and liquid fuels; and transports and sells compressed natural gas renewable natural gas and hydrogen. It serves the commercial residential and industrial markets. Superior Plus Corp. was incorporated in 1989 and is based in Toronto Canada.
TCW,Trican Well Service Ltd.,6.19,918.93,United States and Canada,CA,-0.2631,-0.0082,-0.0357,-0.0161,-0.075,-0.0763,-0.0082,-0.0343,-0.0213,-0.0593,-0.0445,-0.0082,-0.0366,-0.02,-0.005,0.1368,878.46,928.98,946.27,682.23,734.12,639.83,444.81,312.02,489.85,633.33,739.67,242.16,468.28,Energy,Energy Equipment and Services,Trican Well Service Ltd. an equipment services company provides various products equipment services and technology for use in the drilling completion stimulation and reworking of oil and gas wells in Canada. The company offers hydraulic fracturing solutions including slick water and high-viscosity friction reducer and guar alternatives fluid systems other systems dissolvable ball sealers and diverting agents logistical and laboratory solutions fracture design and minifrac test and analysis as well as sand resin coated sand and ceramic proppants. It also provides cementing solutions such as pre-flushes and spacers cement plugs lost circulation cement design and laboratory solutions as well as surface intermediate production liner horizontal and remedial/squeeze cementing; and acidizing solutions comprising fracture acidizing and production enhancement formation damage scales emulsions and organic deposits. In addition the company offers coiled tubing solutions which include coiled tubing fracturing e-coil in-house engineering and acidizing and production enhancement as well as milling such as fracturing plugs and ports stage tool/debris sub cement milling and confirmation runs; technical solutions comprising lab services; and iron horse energy services. Further it provides nitrogen services; and sells chemicals. The company was formerly known as Trican Oilwell Service Co. Ltd. and changed its name to Trican Well Service Ltd. in June 1997. Trican Well Service Ltd. was incorporated in 1979 and is headquartered in Calgary Canada.
WEED,Canopy Growth Corporation,1.32,396.01,United States and Canada,CA,-0.5976,-0.0082,-0.0238,0.0115,-0.0916,0.0654,-0.0082,-0.0238,0.0051,-0.0763,0.0862,-0.0082,-0.0238,-0.0081,-0.0672,0.0971,244.95,265.36,285.76,186.95,219.37,298.11,408.19,434.95,283.39,169.37,60.44,30,9.79,Health Care,Pharmaceuticals,Canopy Growth Corporation together with its subsidiaries engages in the production distribution and sale of cannabis and cannabis-related products for medical and adult use in Canada Germany the United States and internationally. The company operates through two segments Cannabis and Storz & Bickel. It also provides vaporizers and accessories; dried flower and pre-rolled joints oil and vapes and beverages; extracts and concentrates such as softgel capsules; and cannabis edibles including gummies. In addition the company operates e-commerce shop; medical cannabis online distribution platform; and an online medical cannabis clinic. It sells its products under the Tweed 7ACRES Deep Space HiWay Maitri Twd. Spectrum Therapeutics Canopy Medical Abba Medix Storz & Bickel Wana and Claybourne Apollo Canada House R’belle LowKey MTL Cannabis DeeLish DOJA brands. The company was formerly known as Tweed Marijuana Inc. and changed its name to Canopy Growth Corporation in September 2015. Canopy Growth Corporation is headquartered in Smiths Falls Canada.
TSK,Talisker Resources Ltd.,1.27,189.62,United States and Canada,CA,-0.4596,-0.0082,-0.1389,-0.1115,-0.052,,-0.0082,-0.0741,-0.0255,-0.0397,,-0.0082,-0.0451,0.0345,0.0517,,64.66,144.85,297.5,,,,,,,,1.24,0.92,1.3,Materials,Metals and Mining,Talisker Resources Ltd. a junior resource company engages in the exploration evaluation and development of mineral properties in British Columbia Canada. The company primarily explores for gold and silver deposits. Its flagship project is the Bralorne Gold project comprising 14404 hectares over 69 claims three leases and 197 Crown Grant claims in British Columbia. The company is headquartered in Toronto Canada.
CFP,Canfor Corporation,15.88,1321.46,United States and Canada,CA,-0.0428,-0.0082,-0.0238,0.0238,-0.0031,0.0251,-0.0082,-0.0238,-0.0253,-0.0673,-0.0746,-0.0082,-0.0238,-0.0286,-0.0617,-0.0394,4012.8,3942.24,4394.79,3653.64,4095.64,5485.21,6077.28,4286.63,3587.47,3695.59,3629.76,3153.74,2829.09,Materials,Paper and Forest Products,Canfor Corporation operates as an integrated forest products company in the United States Asia Canada Europe and internationally. It operates through Lumber and Pulp and Paper segments. The company manufactures and sells softwood lumber pulp and paper products remanufactured lumber products engineered wood and other lumber-related products wood pellets and energy. The company was founded in 1930 and is headquartered in Vancouver Canada.
VBNK,VersaBank,32.31,742.83,United States and Canada,CA,-0.0497,-0.0082,-0.0443,-0.0134,-0.0198,-0.0434,-0.0082,0.0128,0.0456,0.0562,0.0133,-0.0082,,,,,110.53,152.28,182.67,80.37,77.9,60.15,53.15,40.93,41.16,39.01,34.08,28.94,25.85,Financials,Banks,VersaBank provides various banking products and services in Canada and the United States. The company operates through four segments: Digital Banking Canada Digital Banking USA DRTC (Cybersecurity) and Digital Meteor. It offers deposit products such as guaranteed investment certificates registered retirement savings plans and tax-free savings accounts as well as deposit insurance products. The company also provides lending services including point of sale financing that covers purchasing loan and lease receivables from finance companies operating in various industries; commercial real estate mortgages and loans public sector leases and other financing. In addition it provides cybersecurity services. The company was formerly known as Pacific & Western Bank of Canada and changed its name to VersaBank in May 2016. VersaBank was incorporated in 1979 and is headquartered in London Canada.
L,Loblaw Companies Limited,62.52,51028.81,United States and Canada,CA,-0.1016,-0.0082,-0.0238,0.0054,-0.0316,-0.0329,-0.0082,-0.0238,0.0063,-0.0306,-0.0317,-0.0082,-0.0238,0.0124,-0.0247,-0.0287,46435.8,48233.02,50057.48,41703.43,44928.56,41732.71,42047.24,41426.52,36714.87,34181.53,37056.45,34542.98,32806.24,Consumer Staples,Consumer Staples Distribution and Retail,Loblaw Companies Limited a food and pharmacy company provides grocery pharmacy and healthcare services health and beauty products apparel general merchandise financial services and wireless mobile products and services in Canada and the United States. It operates through two segments Retail and Financial Services. The Retail segment operates corporate and franchise-owned retail food and associate-owned drug stores. This segment also includes in-store pharmacies health care services other health and beauty product stores apparel stores and other general merchandise stores. Its Financial Services segment provides credit card and banking services the PC Optimum loyalty program insurance brokerage services and telecommunication services. The company offers PC Health app which provides healthcare resources and support services; and outpatient physiotherapy massage and occupational therapy chiropractic mental health and other rehabilitation services. It sells its products and services under the President’s Choice PC Life Brand no name Farmer’s Market and Joe Fresh brands through its hard discount format stores under the No Frills and Maxi brands; supermarket format stores under the Loblaws Zehrs Your Independent Grocer Real Canadian Superstore Real Atlantic Superstore Provigo City Market brands; and stand-alone drug stores under the Shoppers Drug Mart and Pharmaprix brands. The company also operates T&T Supermarket stores serving Asian grocery markets; provides online grocery ordering and pickup services through PC Express; and offers banking and financial services through PC Financial. The company was founded in 1919 and is headquartered in Brampton Canada. Loblaw Companies Limited is a subsidiary of George Weston Limited.
OBE,Obsidian Energy Ltd.,16.13,763.27,United States and Canada,CA,-0.1866,-0.0082,-0.0813,,0.3263,-0.1898,-0.0082,-0.0213,,0.1963,,,,,,,497.72,565.79,,508.59,493.07,569.96,354.99,214.39,299.81,298.91,334.08,436.4,763.25,Energy,Oil Gas and Consumable Fuels,Obsidian Energy Ltd. engages in the exploration development and production of oil and natural gas in Western Canada. Its portfolio of properties includes unitized and non-unitized light oil heavy oil and natural gas production. The company was formerly known as Penn West Petroleum Ltd. and changed its name to Obsidian Energy Ltd. in June 2017. Obsidian Energy Ltd. is headquartered in Calgary Canada.
DIV,Diversified Royalty Corp.,4.07,544.81,United States and Canada,CA,-0.1827,-0.0082,-0.0238,0.0193,0.2767,0.2925,-0.0082,-0.0238,0.0153,0.5305,0.6183,-0.0082,-0.0238,-0.0299,,,77.57,100.91,114.4,45.2,42.64,33.37,29.48,23.97,23.46,19.57,16.64,20.98,14.12,Consumer Discretionary,Specialty Retail,Diversified Royalty Corp. a multi-royalty corporation engages in the acquisition of royalties from multi-location businesses and franchisors in North America. The company owns the Sutton Mr. Lube + Tires Loyalty Inc. Mr. Mikes Nurse Next Door Oxford Stratus Cheba Hut Inc. and BarBurrito trademarks. The company was formerly known as BENEV Capital Inc. and changed its name to Diversified Royalty Corp. in September 2014. Diversified Royalty Corp. was incorporated in 1992 and is headquartered in Vancouver Canada.
