Ticker,Name,Last Price,Market Cap,Trading Region,Trading Country,Below 52W High %,Revenues Est Avg Rev % (FY1E - 1W),Revenues Est Avg Rev % (FY1E - 1M),Revenues Est Avg Rev % (FY1E - 3M),Revenues Est Avg Rev % (FY1E - 6M),Revenues Est Avg Rev % (FY1E - 1Y),Revenues Est Avg Rev % (FY2E - 1W),Revenues Est Avg Rev % (FY2E - 1M),Revenues Est Avg Rev % (FY2E - 3M),Revenues Est Avg Rev % (FY2E - 6M),Revenues Est Avg Rev % (FY2E - 1Y),Revenues Est Avg Rev % (FY3E - 1W),Revenues Est Avg Rev % (FY3E - 1M),Revenues Est Avg Rev % (FY3E - 3M),Revenues Est Avg Rev % (FY3E - 6M),Revenues Est Avg Rev % (FY3E - 1Y),Revenues - Est Avg (FY1E),Revenues - Est Avg (FY2E),Revenues - Est Avg (FY3E),Total Revenues (-1FY),Total Revenues (-2FY),Total Revenues (-3FY),Total Revenues (-4FY),Total Revenues (-5FY),Total Revenues (-6FY),Total Revenues (-7FY),Total Revenues (-8FY),Total Revenues (-9FY),Total Revenues (-10FY),Sector,Industry,Description
GOU,GO Residential Real Estate Investment Trust,7.79,490.9,United States and Canada,CA,-0.3985,0.0019,-0.042,-0.0414,-0.0093,0.049,0.0035,0.0331,-0.0257,-0.1365,0.1309,0,0,,,,186.82,211.57,251,151.69,138.55,,,,,,,,,Real Estate,Residential REITs,GO Residential Real Estate Investment Trust is an internally managed open ended real estate investment trust established under and governed by the laws of the Province of Ontario. The REIT has been formed to provide investors with an opportunity to invest in luxury high-rise multifamily properties (LHRs) located in the New York metropolitan area and other major metropolitan cities in the United States. The REIT owns and operates a portfolio of eight LHRs consisting of 3034 luxury suites located in New York City New York. GO Residential Real Estate Investment Trust was established on June 13 2025 and incorporated in Ontario Canada.
FNV,Franco-Nevada Corporation,364.74,49889.58,United States and Canada,CA,-0.0605,0.0019,-0.0025,-0.0669,-0.0754,0.2857,0.0075,-0.0027,-0.046,-0.0216,0.4419,-0.0006,0.0233,-0.0039,0.0719,0.5774,2538.11,2963.81,2956.12,1102.2,1216.9,1313.6,1297.6,1017.3,841.7,650.9,672.7,609.7,441,Materials,Metals and Mining,Franco-Nevada Corporation operates as a royalty and stream company focused on precious metals in South America Central America Mexico the United States Canada Australia Europe and Africa. The company operates through Precious Metals Other Mining and Energy segments. It also manages its portfolio with a focus on precious metals such as gold silver and platinum group metals; and engages in the sale of crude oil natural gas and natural gas liquids through a third-party marketing agent. Franco-Nevada Corporation was founded in 1986 and is headquartered in Toronto Canada.
ABX,Barrick Mining Corporation,59.16,69052.7,United States and Canada,CA,-0.2005,0.0017,-0.0021,-0.0387,-0.0432,0.1625,0.0037,-0.0134,-0.0234,-0.0126,0.3189,-0.0008,-0.0241,-0.027,-0.0117,0.2756,21488.79,24329.49,25068.14,12922,11397,11013,11985,12595,9717,7243,8374,8558,9029,Materials,Metals and Mining,Barrick Mining Corporation engages in the exploration development production and sale of mineral properties. It explores for gold copper silver and energy materials. The company was formerly known as Barrick Gold Corporation and changed its name to Barrick Mining Corporation in May 2025. Barrick Mining Corporation was founded in 1983 and is based in Toronto Canada.
IAU,i-80 Gold Corp.,2.43,1492.2,United States and Canada,CA,-0.2007,0.0017,-0.0104,0.0098,-0.25,0.1037,-0.0388,-0.1606,-0.1606,-0.1756,0.2294,0.029,0.0426,0.0426,-0.0958,0.3335,198,359.02,690.77,50.34,54.91,36.96,,,10.46,27.92,86.64,,,Materials,Metals and Mining,i-80 Gold Corp. a mining company engages in the exploration and advancement of gold and silver mineral deposits in the United States. It also explores for polymetallic deposits. Nevada. i-80 Gold Corp. was incorporated in 2020 and is headquartered in Reno Nevada.
CIGI,Colliers International Group Inc.,129.32,4686.75,United States and Canada,CA,-0.4595,0.0008,0.0015,0.0073,0.005,0.0859,0.001,0.0013,0.0058,0.0031,0.1174,0,0.0015,-0.0016,-0.0085,,6423.09,6972.47,7331.75,4822.02,4335.14,4459.49,4089.13,2786.86,3045.81,2825.43,2435.2,1896.72,1721.99,Real Estate,Real Estate Management and Development,Colliers International Group Inc. provides commercial real estate engineering and investment management solutions in the United States Canada Europe Australia the United Kingdom Poland China India and internationally. The company offers capital markets services for property sales debt finance mortgage investment banking and landlord and tenant representation services; and outsourcing services such as building operations and maintenance facilities management lease administration property accounting and financial reporting contract and construction management valuation and appraisal review and management portfolio or single asset valuation financial reporting advisory arbitration consulting research highest and best use studies property tax reviews appeals and litigation support and occupier services as well as loan servicing. It also engages in the planning designing and project management of assets including bridges and structure highway and traffic engineering construction engineering and inspection water traffic planning and rail; and provision of air quality assessments brownfield redevelopment environmental impact assessments ground water resource development site remediation noise studies land development and monitoring and other services as well as water storm and wastewater management services. In addition the company offers project management services which include bid document review construction monitoring and delivery management contract administration and integrated cost control development management facility and engineering functionality milestone and performance monitoring quality assurance risk management and strategic project consulting; and perpetual funds long-dated funds and separately managed accounts. Colliers International Group Inc. was founded in 1972 and is headquartered in Toronto Canada.
LUN,Lundin Mining Corporation,34.36,20743.77,United States and Canada,CA,-0.2488,0.0004,-0.0003,0.0024,0.0483,0.2641,0.0004,0.0014,0.0222,0.0765,0.3471,0,0,0.0145,0.0726,0.2418,4734.11,4918.31,4486.83,3270.1,2743.44,3041.23,3328.76,2041.51,1892.71,1725.59,2077.5,1545.59,1701.95,Materials,Metals and Mining,Lundin Mining Corporation a diversified base metals mining company engages in the exploration development and mining of mineral properties in Chile Brazil and Argentina. It explores for copper gold silver molybdenum and other metal deposits. The company was formerly known as South Atlantic Ventures Ltd. and changed its name to Lundin Mining Corporation in August 2004. Lundin Mining Corporation was incorporated in 1994 and is headquartered in Vancouver Canada.
FM,First Quantum Minerals Ltd.,44.63,26212.47,United States and Canada,CA,-0.0942,0.0002,0.0035,0.0456,0.0375,0.0849,0.0131,0.0124,0.0183,-0.0137,0.0973,-0.0014,-0.0015,0.0374,0.0627,0.2441,6760.66,9301.11,11357.5,4802,6456,7626,7212,5070,4067,3966,3310,2673,2511,Materials,Metals and Mining,First Quantum Minerals Ltd. together with its subsidiaries engages in the exploration development and production of mineral properties. It primarily explores for copper gold nickel silver and zinc products. Its flagship project is the 100% owned Kansanshi project located in the northwestern Province of Zambia. The company was formerly known as First Quantum Ventures Ltd. and changed its name to First Quantum Minerals Ltd. in July 1996. The company was incorporated in 1983 and is based in Vancouver Canada.
TRI,Thomson Reuters Corporation,139.88,42975.59,United States and Canada,CA,-0.4012,0.0001,0.0008,0.0039,0.0076,0.0059,0.0005,0.0011,0.0038,0.0079,0.0018,0.0024,0.0025,0.0138,0.0197,-0.0125,8118.87,8745.57,9501.95,7258,6794,6627,6348,5984,5906,5501,5297,11166,11257,Industrials,Professional Services,Thomson Reuters Corporation operates as a content and technology company in the Americas Europe the Middle East Africa and the Asia Pacific. It operates through five segments: Legal Professionals Corporates Tax Audit & Accounting Professionals Reuters News and Global Print. The Legal Professionals segment offers research and workflow products focusing on legal research and integrated legal workflow solutions that combine content tools and analytics to law firms and governments. The Corporates segment provides a suite of content-driven technologies including generative AI and integrated compliance workflow solutions to small businesses and multinational organizations. Tax Audit & Accounting Professionals segment offers research and workflow products to tax audit and accounting firms. The Reuters News segment provides business financial and international news to media organizations professional and news consumers through Reuters News Agency Reuters.com Reuters Events Thomson Reuters products and to financial firms. The Global Print segment offers legal and tax information primarily in print format. The company was formerly known as The Thomson Corporation and changed its name to Thomson Reuters Corporation in April 2008. The company was founded in 1799 and is headquartered in Toronto Canada. Thomson Reuters Corporation is a subsidiary of The Woodbridge Company Limited.
DSG,The Descartes Systems Group Inc.,112.3,6813.11,United States and Canada,CA,-0.198,0,0.0223,0.0223,0.0268,0.0396,0,0.0372,0.0379,0.0442,0.0688,0,0.0287,0.0284,0.0446,0.0614,830.34,937.04,1039.35,651,572.93,486.01,424.69,348.66,325.79,275.17,237.44,203.78,184.99,Information Technology,Software,The Descartes Systems Group Inc. provides global logistics technology solutions in the United States Europe the Middle East Africa Canada and the Asia Pacific. Its Logistics Technology platform offers a range of modular interoperable web and wireless logistics management solutions. The company offers a suite of solutions that include routing mobile and telematics; transportation management; ecommerce shipping and fulfillment; customs and regulatory compliance; global trade intelligence; broker and forwarder enterprise systems; and B2B messaging and connectivity services. It also provides its customers to use its modular and technology solutions to route track and measure delivery resources; plan allocate and execute shipments; rate audit and pay transportation invoices; access and analyze global trade data; research and perform trade tariff and duty calculations; file customs and security documents for imports and exports; and various other logistics processes. In addition the company offers consulting implementation and training services as well as maintenance and support services. It serves transportation providers such as air ocean and truck modes; logistics service providers including third-party logistics providers freight forwarders and customs brokers; and distribution-intensive companies such as retailers manufacturers distributors and mobile business service providers through subscription transactional or perpetual license basis. Further the company develops Tai TMS a transportation management software for freight brokers to manage quoting booking and shipment tracking. The Descartes Systems Group Inc. was incorporated in 1981 and is headquartered in Waterloo Canada.
ATD,Alimentation Couche-Tard Inc.,79.34,51650,United States and Canada,CA,-0.1662,0,0.0358,0.0454,0.1118,0.144,0,0.0285,0.036,0.0886,0.1389,0,-0.002,0.0338,0.0801,0.0783,87421.88,86369.44,84732.56,72856.8,69263.5,71856.7,62809.9,45760.1,54132.4,59117.6,51394.4,37904.5,34144.6,Consumer Staples,Consumer Staples Distribution and Retail,Alimentation Couche-Tard Inc. operates and licenses convenience stores in North America Europe and Asia. It offers cigarette products and other nicotine products beverages beer wine fresh food offerings comprising quick-service restaurants candy and snacks grocery items and car wash and other services; road transportation fuels and operates electric vehicle charging stations; sells energy for stationary engines and aviation fuels; sells lottery tickets and calling and gift cards; franchise and license fees; royalties from franchisees and licensees; and automatic teller machines. The company operates its convenience store chain under various banners including Circle K Couche-Tard and Ingo. In addition it operates and licenses stores operated under the Circle K banner in Egypt Guam Guatemala Honduras Indonesia Macau Mexico Morocco New Zealand Saudi Arabia South Africa Tanzania the United Arab Emirates and Vietnam. The company was formerly known as Actidev Inc. and changed its name to Alimentation Couche-Tard Inc. in December 1994. Alimentation Couche-Tard Inc. was founded in 1980 and is headquartered in Laval Canada.
