universe,kind,signal,ratios,firings,hit_rate,recall,median_lead,median_nearest,pct_late,edge4,edge13,edge26,edge13_mean,fwd13,base13,p_value,pct_correct
Price ratios,top,Composite > +1.0,39,850,37.20856384434971,56.92696192696192,5.0,3.0,22.89190321995752,0.29365947159765626,0.8454806574582259,1.2283125423815324,1.6138402429981735,0.7372945891526965,-0.26602550116322343,0.6365,38.46153846153847
Price ratios,top,40w stretch z > +1.5,39,522,34.88186986996227,37.3993598993599,5.5,3.5,20.520334928229666,0.7198649279455437,0.939758905003635,1.8752693291057216,2.1111745626697664,0.700064341456537,-0.26602550116322343,0.655,33.33333333333333
Theme baskets,bottom,Washed + ROC cross,8,26,25.208333333333332,14.246031746031745,8.25,-2.0,71.66666666666666,-0.3938396372454369,-3.439230540771504,0.5362162087188549,-1.853817647008949,0.20356289653412318,3.5170513659302105,0.63,25.0
Theme baskets,bottom,Washed + MA cross,4,10,12.5,7.142857142857142,9.0,-2.5,75.0,-0.002043316684844032,-1.2354213985630556,-4.645993483104846,8.759100757154995,2.039813165963182,4.161131525085636,0.6092500000000001,50.0
Theme baskets,bottom,Breadth pos. divergence,8,101,12.859477124183005,26.765873015873016,6.25,-2.0,74.64285714285714,0.8040061272740919,-1.194276356311107,-1.105367106002622,-4.418078175737253,1.5823990767940812,3.5170513659302105,0.5745,37.5
Theme baskets,bottom,40w stretch z < -1.5,8,70,37.210046897546896,41.785714285714285,5.0,3.0,19.791666666666664,-0.9766231556605413,-0.6978434297500729,-4.49485711757649,-1.6115671904957365,0.982015316937267,3.5170513659302105,0.5435,37.5
Theme baskets,bottom,Composite < -1.0,8,125,36.747729394788216,63.988095238095234,4.75,1.75,32.47814685314685,0.3311937007172384,-0.658921525986575,-0.8031026985825513,20.757482915038597,2.6163130385396625,3.5170513659302105,0.55525,50.0
Theme baskets,bottom,Ratio crosses > 40w MA,8,105,7.987012987012987,17.976190476190474,9.0,-5.0,80.0,-0.487530743791885,-0.6171112696568152,2.062476860090107,-2.6612160131707885,1.8451974123168449,3.5170513659302105,0.56075,25.0
Theme baskets,bottom,RS particip. rising 13w,8,206,3.342838196286472,14.86111111111111,11.5,-6.0,89.67171717171718,0.8747165190104684,-0.16485635814318345,-0.2846178368624517,-2.7527919625519366,3.6788226621296762,3.5170513659302105,0.49275,37.5
Theme baskets,bottom,13w ROC crosses > 0,8,168,11.333023860197773,41.30952380952381,8.5,-3.0,67.2172619047619,-0.5451279608529287,0.0855804011117609,1.01040608057651,-3.5031823997606466,3.1339443315380207,3.5170513659302105,0.46575,62.5
Theme baskets,bottom,Channel z < -1.5,8,88,42.99656226126814,47.361111111111114,3.0,1.0,30.243055555555554,-1.9582504240194154,0.9145617127052197,1.005940196298662,51.19772478921617,4.347943506894096,3.5170513659302105,0.48300000000000004,50.0
Theme baskets,bottom,Composite < -1.5,8,67,53.18452380952381,52.61904761904762,3.0,2.25,12.784090909090908,1.7044501818742628,2.5373029943737127,3.839979763153236,32.72190859652426,5.434606822358139,3.5170513659302105,0.20074999999999998,75.0
Theme baskets,bottom,wRSI < 25,6,11,62.5,15.105820105820106,2.0,2.0,0.0,-3.894732936479695,3.3894586989313873,-5.037713532711394,-0.609499638148233,8.447027538355972,2.657592879809116,0.25325,66.66666666666666
Theme baskets,bottom,wRSI < 30,8,33,58.18452380952381,36.42857142857142,4.0,2.5,12.5,0.32917048982338354,3.625331999189247,-3.0296349910305134,2.5715527772202376,5.766618492960056,3.5170513659302105,0.29125,75.0
Theme baskets,bottom,Channel z < -2.0,8,49,43.298611111111114,37.65873015873016,2.75,1.0,35.9375,2.977882731785716,5.616383434440769,8.443756805927078,53.916282751900255,8.891617998967007,3.5170513659302105,0.09225,87.5
Theme baskets,top,RS particip. < 50 & RS up,8,142,14.785685805422647,34.93641774891775,5.5,0.0,40.26785714285714,-1.1796807270974616,-2.28881323409124,2.0793187938430338,-5.299242685917314,1.637102522639617,3.5170513659302105,0.2775,62.5
Theme baskets,top,Extended + ROC cross,7,20,5.714285714285714,4.761904761904761,5.0,-6.25,91.66666666666667,-0.31578085829389674,-1.9600822557587736,-2.214912235625854,-4.642042718316495,1.2754987586330904,2.899409681213089,0.4095,71.42857142857143
Theme baskets,top,Channel z > +1.5,8,119,19.323593073593074,29.252344877344875,3.75,0.25,42.5,-0.867865835234505,-1.328436690840199,-0.4639891793608917,-2.4658045009633676,3.1230438285241027,3.5170513659302105,0.44675,75.0
Theme baskets,top,wRSI > 75,8,72,26.643032212885153,22.352994227994227,3.75,3.75,0.0,-0.7941882597356488,-1.1573497750362938,1.8168931324968236,-0.9858015328481868,4.905210148663873,3.5170513659302105,0.5705,62.5
Theme baskets,top,Composite > +1.0,8,168,21.486941367456073,48.41946248196248,5.25,1.0,27.968524531024528,0.8893325279797138,-0.2533584105369713,2.3365304384938144,-2.281585175183653,4.097427216261496,3.5170513659302105,0.5814999999999999,50.0
Theme baskets,top,Channel z > +2.0,8,66,24.043560606060606,21.21663059163059,6.0,5.0,25.277777777777775,0.06946678945691165,-0.25185369397446977,-2.8663735027047266,1.1465906509548482,5.365002144984422,3.5170513659302105,0.634,50.0
Theme baskets,top,Narrow high,8,155,28.247756314902176,57.88915945165945,4.0,4.0,3.8690476190476186,0.1099329743399885,-0.07387139095757833,1.2693521215921506,-3.4239614974497625,3.201363173568659,3.5170513659302105,0.497,50.0
Theme baskets,top,Breadth neg. divergence,8,169,13.449032599847817,34.23746392496392,6.75,-2.25,62.05221861471861,0.19555188270865986,0.34635446226100686,3.867373582779531,-3.126928359148241,3.4239496307852413,3.5170513659302105,0.5535,50.0
Theme baskets,top,Ratio crosses < 40w MA,8,104,8.089918659771602,16.290133477633475,8.0,-5.5,79.9702380952381,-0.12348175287255594,0.4958251591270617,0.9302369795434349,6.7739654753152205,3.7710597236532992,3.5170513659302105,0.576,50.0
Theme baskets,top,Monthly RSI > 70,8,144,23.821982302457684,32.59604978354978,5.5,2.5,31.11111111111111,-0.3582165004689071,0.6922447345831475,0.3396659007538019,-0.5378478562602562,5.688160571873586,3.5170513659302105,0.64,37.5
Theme baskets,top,Composite > +1.5,8,103,25.632889373698198,37.20914502164502,5.0,4.25,11.25,1.19253618191674,0.8187272770157095,2.9017777671324203,0.5271713879009226,6.760441913954121,3.5170513659302105,0.83525,50.0
Theme baskets,top,13w ROC crosses < 0,8,173,8.235355827747131,25.685425685425685,7.0,-3.5,76.65494227994228,-0.9490932848365142,0.948656863075892,0.8405898060739481,-3.109351055633348,3.36898861673981,3.5170513659302105,0.6585,37.5
Theme baskets,top,RS particip. falling 13w,8,225,8.270941946345172,32.99287518037518,8.25,-6.25,78.30176767676768,-0.05174451601354363,0.9809804259033611,-0.07293771407490768,-1.373661467862696,4.87872149715246,3.5170513659302105,0.6792499999999999,37.5
Theme baskets,top,wRSI > 70,8,116,25.05028353712564,35.37833694083694,3.0,3.0,1.7857142857142856,0.6167741081737356,1.4200516801621927,2.505658428392775,-0.24499086550932292,6.737904123466301,3.5170513659302105,0.74875,25.0
Theme baskets,top,40w stretch z > +1.5,8,79,25.01616439116439,26.91648629148629,4.0,4.0,9.659863945578232,1.2453512287057957,2.1356993058073734,8.651641983324836,-0.6639359168868575,6.579752003735436,3.5170513659302105,0.7505,37.5
