signal,kind,n_firings,n_turns,hit_rate,median_lead,median_nearest,pct_late,recall,fwd4,base4,edge4,fwd8,base8,edge8,fwd13,base13,edge13,p_value,fwd26,base26,edge26,ratio,theta,universe,n_peaks,n_troughs
Ratio crosses > 40w MA,bottom,12,6,8.333333333333332,8.0,-3.5,75.0,16.666666666666664,0.03662434298693077,-1.836950211477145,1.8735745544640758,-0.48695405972522926,-3.542933062807282,3.055979003082053,-0.4385782806911971,-5.692801008627078,5.254222727935881,0.136,2.9470781586322006,-10.760070719573699,13.7071488782059,Crit. Minerals vs Semis,23.01936457471291,Price ratios,7,6
Washed + ROC cross,bottom,2,6,0.0,,-5.0,100.0,0.0,0.6901175149242595,-1.836950211477145,2.5270677264014045,-8.707607379515736,-3.542933062807282,-5.164674316708453,-12.600258047353265,-5.692801008627078,-6.907457038726187,0.713,-0.7108236906438581,-10.760070719573699,10.049247028929841,Crit. Minerals vs Semis,23.01936457471291,Price ratios,7,6
wRSI > 70,top,7,9,57.14285714285714,4.5,4.5,0.0,44.44444444444444,-0.4456903223143421,0.31194935167237825,-0.7576396739867204,-0.8631104201203958,0.6124748084354571,-1.475585228555853,0.8599053814030986,1.015641128943431,-0.15573574754033248,0.466,4.0894494957586405,2.1032850623900337,1.9861644333686068,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
wRSI > 75,top,3,9,66.66666666666666,6.5,6.5,0.0,22.22222222222222,1.9889133687760463,0.31194935167237825,1.6769640171036682,-0.851507471191626,0.6124748084354571,-1.463982279627083,-5.903703370770867,1.015641128943431,-6.919344499714297,0.0075,3.066838706549052,2.1032850623900337,0.9635536441590182,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Channel z > +1.5,top,20,9,45.0,6.0,2.0,35.714285714285715,66.66666666666666,-0.3916139272770569,0.31194935167237825,-0.7035632789494352,0.07191486409307561,0.6124748084354571,-0.5405599443423815,0.122034794969475,1.015641128943431,-0.8936063339739561,0.226,1.6618774930872118,2.1032850623900337,-0.4414075693028219,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Channel z > +2.0,top,8,9,75.0,3.0,1.5,25.0,55.55555555555556,-1.815482707172662,0.31194935167237825,-2.12743205884504,-3.052930428993453,0.6124748084354571,-3.66540523742891,-3.7159886391262917,1.015641128943431,-4.731629768069723,0.0065,-2.9797313853693432,2.1032850623900337,-5.083016447759377,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
40w stretch z > +1.5,top,10,9,50.0,6.0,4.0,16.666666666666664,44.44444444444444,1.031814279617922,0.31194935167237825,0.7198649279455437,0.9820125981376847,0.6124748084354571,0.3695377897022276,-0.6144611344314278,1.015641128943431,-1.6301022633748588,0.1745,2.7572620584668797,2.1032850623900337,0.653976996076846,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Composite > +1.0,top,21,9,52.38095238095239,5.0,3.0,21.428571428571427,66.66666666666666,0.23384849124535817,0.31194935167237825,-0.07810086042702008,0.6863174809103653,0.6124748084354571,0.07384267247490817,-0.04113701779395063,1.015641128943431,-1.0567781467373818,0.182,1.889730534215312,2.1032850623900337,-0.21355452817472176,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Composite > +1.5,top,12,9,58.333333333333336,6.0,3.0,22.22222222222222,66.66666666666666,0.24708719066483623,0.31194935167237825,-0.06486216100754202,0.10600113232929657,0.6124748084354571,-0.5064736761061606,0.5912870501831285,1.015641128943431,-0.4243540787603025,0.402,1.7742750677769388,2.1032850623900337,-0.3290099946130949,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Monthly RSI > 70,top,11,9,27.27272727272727,6.0,-2.0,71.42857142857143,33.33333333333333,0.4933168254023648,0.31194935167237825,0.18136747372998657,-1.2275427521034186,0.6124748084354571,-1.8400175605388758,-0.8086030650211335,1.015641128943431,-1.8242441939645646,0.1275,-0.7220443350007753,2.1032850623900337,-2.825329397390809,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
13w ROC crosses < 0,top,20,9,20.0,5.5,-4.0,75.0,44.44444444444444,1.2604367671820715,0.31194935167237825,0.9484874155096933,2.480286325227192,0.6124748084354571,1.8678115167917348,1.3229327240330473,1.015641128943431,0.30729159508961623,0.6,2.490554243573114,2.1032850623900337,0.3872691811830804,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Ratio crosses < 40w MA,top,14,9,14.285714285714285,4.5,-4.5,87.5,22.22222222222222,1.1648351139617057,0.31194935167237825,0.8528857622893274,1.7583337321786359,0.6124748084354571,1.1458589237431789,1.391241324047906,1.015641128943431,0.37560019510447495,0.625,2.2897489184579243,2.1032850623900337,0.18646385606789062,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Extended + ROC cross,top,8,9,37.5,5.0,-3.0,71.42857142857143,33.33333333333333,3.2291975447497427,0.31194935167237825,2.9172481930773646,3.687810586157722,0.6124748084354571,3.075335777722265,1.6431049916027978,1.015641128943431,0.6274638626593667,0.6405,4.283692908255972,2.1032850623900337,2.1804078458659384,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Extended + MA cross,top,2,9,50.0,5.0,-3.0,100.0,11.11111111111111,6.737425825594517,0.31194935167237825,6.425476473922139,11.466622893500379,0.6124748084354571,10.85414808506492,13.622767741784937,1.015641128943431,12.607126612841506,0.998,9.437942059664206,2.1032850623900337,7.3346569972741715,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
wRSI < 30,bottom,4,9,25.0,0.0,0.0,0.0,11.11111111111111,1.250549210183041,0.31194935167237825,0.9385998585106629,-1.0496962581800275,0.6124748084354571,-1.6621710666154845,-0.5211382924085461,1.015641128943431,-1.5367794213519772,0.715,-0.04230771900011998,2.1032850623900337,-2.1455927813901536,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Channel z < -1.5,bottom,12,9,41.66666666666667,4.0,2.0,37.5,33.33333333333333,-1.474900682509871,0.31194935167237825,-1.7868500341822493,-0.9843099067548599,0.6124748084354571,-1.596784715190317,-1.987573688152785,1.015641128943431,-3.0032148170962163,0.973,-4.068063352060656,2.1032850623900337,-6.171348414450689,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
