date,ticker,name,signal,universe,xs_1m,xs_3m,xs_6m,xs_12m,mae,period,rel5,w_rsi,m_rsi,rv,drawdown,move21,mkt_part,sec_part,spec_part,driver,mkt_gauge,regime,credit_stress
2006-06-26,NVR,"NVR, Inc.",Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.08900,0.07416,0.10755,0.15241,-0.20724,In-sample 2005-14,3.83518,26.84844,38.35426,0.48116,0.46695,-0.25309,-0.03088,0.01178,-0.23399,Specific,38.45238,Calm,False
2018-11-08,NVR,"NVR, Inc.",Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.09988,0.12762,0.39536,0.41531,0.00000,Out-of-sample 2015+,1.21664,33.32774,44.63497,0.54428,0.38066,-0.02488,0.00624,0.00942,-0.04055,Specific,63.25397,Calm,False
2020-03-12,NVR,"NVR, Inc.",Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.06740,-0.04958,0.13180,0.09877,-0.25572,Out-of-sample 2015+,1.35678,33.01792,46.18833,0.58057,0.27009,-0.30089,-0.11745,-0.00191,-0.18153,Specific,99.89418,Panic,True
2024-08-08,NVT,nVent Electric plc,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.05366,0.10295,-0.08389,0.21352,-0.03280,Out-of-sample 2015+,1.44467,38.04478,56.83797,0.43907,0.26325,-0.21810,-0.08341,0.09164,-0.22632,Specific,73.88889,Elevated,False
2025-02-21,NVT,nVent Electric plc,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.00020,0.10971,0.40500,0.85979,-0.25277,Out-of-sample 2015+,1.40600,40.98577,52.41055,0.42870,0.26122,-0.18572,-0.01894,-0.03921,-0.12757,Specific,55.46296,Calm,False
2009-01-07,NWBI,Northwest Bancshares Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.02781,-0.00969,-0.03188,0.00083,-0.35365,In-sample 2005-14,0.59133,37.96799,40.08680,0.43535,0.29126,-0.03881,0.02781,-0.03152,-0.03510,Specific,95.15873,Elevated,False
2008-12-24,NWN,Northwest Natural Holding Company,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.00506,0.08363,-0.04816,-0.22923,-0.11058,In-sample 2005-14,0.81357,43.15004,49.38749,0.44890,0.18939,-0.13972,0.01716,-0.02179,-0.13509,Specific,95.31746,Elevated,False
2020-06-16,NWN,Northwest Natural Holding Company,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.09928,-0.27808,-0.27079,-0.37780,-0.19606,Out-of-sample 2015+,0.36637,43.06381,42.93832,0.35496,0.22979,-0.00729,0.10607,-0.00153,-0.11182,Specific,87.32804,Elevated,True
2007-06-21,O,Realty Income,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.07100,0.11844,0.15000,0.08857,-0.06760,In-sample 2005-14,1.04251,38.13206,56.61727,0.24299,0.14700,-0.06555,0.00149,-0.04373,-0.02331,Sector,44.36508,Calm,False
2009-01-12,O,Realty Income,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.00775,0.09889,0.05241,0.13648,-0.24251,In-sample 2005-14,0.70520,42.75542,42.33541,0.60826,0.34039,-0.13492,-0.03388,-0.08180,-0.01924,Sector,95.71429,Elevated,False
