date,ticker,ret,xs,universe
2022-03-03,HUBS,-0.48487025,-1.3392268433425332,US Stocks
2022-03-03,NOW,0.27789867,-0.5764579191062356,US Stocks
2022-03-03,VCYT,0.55492723,-0.2994293584678078,US Stocks
2022-03-03,WING,-0.21751279,-1.0718693747374917,US Stocks
2022-03-03,FIVE,0.588133,-0.2662236108634377,US Stocks
2022-03-04,GLOB,-0.8250661,-1.7357480631714837,US Stocks
2022-03-07,IQV,0.27669072,-0.6485881935808742,US Stocks
2022-03-07,AMBA,-0.29169488,-1.2169737946245753,US Stocks
2022-03-08,FIVN,-0.6390977,-1.5141058955942799,US Stocks
2022-03-08,SOCL,0.09033084,-0.7846773658549,Sector/Theme ETFs
2022-03-08,XYL,0.32614648,-0.5488617215906788,US Stocks
2022-03-08,EW,-0.15702015,-1.0320283566271473,US Stocks
2022-03-10,SOCL,0.18145609,-0.7263149282095858,Sector/Theme ETFs
2022-03-11,AMBA,-0.2350719,-1.156887935031606,US Stocks
2022-03-11,FIVE,0.59731174,-0.3245043023716938,US Stocks
2022-03-11,HTHT,1.2360737,0.3142576948512066,US Stocks
2022-03-11,JD,-0.285006,-1.2068220242154133,US Stocks
2022-03-11,VCYT,0.7547858,-0.1670302613865864,US Stocks
2022-03-14,EW,-0.15892607,-1.0393900503119708,US Stocks
2022-03-14,HASI,0.028166056,-0.8522979248961688,US Stocks
2022-03-17,HTHT,0.5156597,-0.28159424493179164,US Stocks
2022-03-21,SOCL,0.025737286,-0.7512491289715848,Sector/Theme ETFs
2022-03-21,PYPL,-0.54782546,-1.3248118702511869,US Stocks
2022-03-21,CSGP,-0.546798,-1.3237844053845487,US Stocks
2022-03-21,HASI,-0.0070150495,-0.7840014640431485,US Stocks
2022-03-23,SOCL,0.037650704,-0.7357858625575091,Sector/Theme ETFs
2022-03-23,IQV,0.19677687,-0.5766597000285174,US Stocks
2022-03-23,PYPL,-0.54073405,-1.3141706195994403,US Stocks
2022-03-25,HTHT,0.5206226,-0.23173051214591256,US Stocks
2022-03-29,XYL,0.2883643,-0.4533305065016495,US Stocks
2022-03-30,APTV,-0.6379584,-1.4068791876864553,US Stocks
2022-03-30,KEYS,1.038615,0.2696942080426097,US Stocks
2022-03-30,ARKG,0.041802645,-0.7271181355548024,Sector/Theme ETFs
2022-03-31,HUBS,-0.51834273,-1.2822640545299944,US Stocks
2022-03-31,ARKW,0.7709938,0.007072507626682878,Sector/Theme ETFs
2022-03-31,PYPL,-0.5431746,-1.3070959455898699,US Stocks
2022-03-31,SOCL,0.033330083,-0.7305912382534441,Sector/Theme ETFs
2022-04-01,NOW,0.21620691,-0.5327321360488746,US Stocks
2022-04-05,HUBS,-0.47685838,-1.2660622169366436,US Stocks
2022-04-05,NOW,0.32417858,-0.46502526301055713,US Stocks
2022-04-05,WIX,-0.18869823,-0.9779020716538982,US Stocks
2022-04-05,ARKG,0.0595659,-0.7296379377236919,Sector/Theme ETFs
2022-04-05,ARKW,0.86382484,0.07462100488037304,Sector/Theme ETFs
2022-04-06,FERG,0.81907237,0.038838859844117835,US Stocks
2022-04-06,PYPL,-0.52850485,-1.30873835439691,US Stocks
2022-04-06,HLI,0.68993056,-0.09030294771203451,US Stocks
2022-04-07,HASI,0.07603049,-0.7089760277799355,US Stocks
2022-04-08,PYPL,-0.51463604,-1.3306828675238966,US Stocks
2022-04-08,CSGP,-0.5228666,-1.3389134345023512,US Stocks
2022-04-08,JD,-0.45975995,-1.2758067784278273,US Stocks
2022-04-11,HTHT,0.58032155,-0.2424791066404579,US Stocks
2022-04-11,SKYY,0.9183419,0.09554121806657334,Sector/Theme ETFs
2022-04-12,JD,-0.47320098,-1.2753603697218459,US Stocks
2022-04-12,ONC,0.85484374,0.052684342821641694,US Stocks
2022-04-14,SKYY,0.9495064,0.12537391421054878,Sector/Theme ETFs
2022-04-14,JD,-0.46605486,-1.2901873445823284,US Stocks
2022-04-14,GNRC,-0.29750872,-1.1216412043883892,US Stocks
2022-04-14,HASI,0.073522806,-0.7506096816375347,US Stocks
2022-04-14,ONC,1.0220749,0.1979424500152973,US Stocks
2022-04-20,JD,-0.39444095,-1.218198868811057,US Stocks
2022-04-20,XYZ,-0.28855264,-1.112310561716483,US Stocks
2022-04-20,SKYY,1.0045035,0.1807455686927577,Sector/Theme ETFs
2022-04-21,GNRC,-0.26418185,-1.139393830281104,US Stocks
2022-04-21,HTHT,0.655902,-0.21930994985660446,US Stocks
2022-04-22,BURL,0.102556825,-0.7618462333681444,US Stocks
2022-04-22,ARKQ,0.98567605,0.12127299213386977,Sector/Theme ETFs
2022-04-25,SAM,-0.5265573,-1.4465655009588918,US Stocks
2022-04-26,ARKQ,1.1073337,0.1927091402306913,Sector/Theme ETFs
2022-04-26,FCNCA,2.4414327,1.5268081945672392,US Stocks
2022-04-27,IQV,0.22525072,-0.6422031640694787,US Stocks
2022-04-28,META,2.3881512,1.4490365813370623,US Stocks
2022-04-28,ASND,1.7138162,0.7747015784378923,US Stocks
2022-04-29,FERG,0.8775023,-0.05000991670159638,US Stocks
2022-05-03,SAM,-0.56195647,-1.423969639430364,US Stocks
2022-05-03,FTAI,11.948951,11.086937593331019,US Stocks
2022-05-04,RNG,-0.09059632,-1.0212294473887649,US Stocks
2022-05-04,SHOP,2.146046,1.2154127940892014,US Stocks
2022-05-05,ARKQ,1.1846423,0.2424159923063678,Sector/Theme ETFs
2022-05-05,ZTS,-0.54571927,-1.487945588542326,US Stocks
2022-05-05,W,0.5602237,-0.38200262398849305,US Stocks
2022-05-05,SAM,-0.54281807,-1.4850443920625287,US Stocks
2022-05-05,IQV,0.25722575,-0.6850005707276898,US Stocks
2022-05-05,HTHT,0.8495133,-0.09271303029189881,US Stocks
2022-05-05,FERG,1.0195677,0.07734140543808166,US Stocks
2022-05-05,CRL,0.12998009,-0.8122462353242474,US Stocks
2022-05-06,BALL,-0.06174189,-1.068209857661997,US Stocks
2022-05-06,GNRC,-0.23008269,-1.236550659854685,US Stocks
2022-05-06,MTCH,-0.35809207,-1.3645600387647496,US Stocks
2022-05-06,WIX,0.24400437,-0.7624636003568517,US Stocks
2022-05-06,APTV,-0.54479575,-1.5512637207105504,US Stocks
2022-05-09,IHI,0.033293724,-0.968548455781999,Sector/Theme ETFs
2022-05-09,EPAM,-0.6334084,-1.635250607080522,US Stocks
2022-05-09,FTAI,12.506493,11.504650434904036,US Stocks
2022-05-09,JD,-0.40557903,-1.407421210355821,US Stocks
2022-05-09,TRNO,0.154459,-0.8473831802082685,US Stocks
2022-05-10,PAYC,-0.121322215,-1.1554795660005128,US Stocks
2022-05-10,BURL,0.33004725,-0.7041101016030824,US Stocks
2022-05-10,DHR,0.013477087,-1.0206802643762147,US Stocks
2022-05-10,FIVE,0.7340044,-0.30015297307830213,US Stocks
2022-05-10,FRPT,0.08767319,-0.9464841641412294,US Stocks
2022-05-10,VCYT,1.4919095,0.4577521525396788,US Stocks
2022-05-10,PEGA,0.55273557,-0.48142178430419325,US Stocks
2022-05-10,NFLX,3.5927758,2.5586184702887023,US Stocks
2022-05-10,NOW,0.66309845,-0.3710588969216859,US Stocks
2022-05-11,PFGC,1.1176744,0.08139118101547504,US Stocks
2022-05-11,APTV,-0.526287,-1.5625701889758274,US Stocks
2022-05-11,WDAY,0.092135906,-0.9441472635035679,US Stocks
2022-05-11,CHDN,-0.09519237,-1.13147554252197,US Stocks
2022-05-11,WK,0.066578746,-0.9697044238810704,US Stocks
2022-05-12,NEE,0.30400503,-0.6847315846283704,US Stocks
2022-05-12,CZR,-0.46044737,-1.449183982451704,US Stocks
2022-05-12,ATRC,0.33224523,-0.6564913807709485,US Stocks
2022-05-12,ASND,1.9799085,0.9911718548934192,US Stocks
2022-05-13,MELI,1.3352203,0.3383810193499295,US Stocks
2022-05-13,VRSK,0.091266274,-0.9055730431119235,US Stocks
2022-05-16,WK,0.05804491,-0.8985464265719711,US Stocks
2022-05-16,NVCR,-0.7737481,-1.730339436806804,US Stocks
2022-05-16,MTCH,-0.39913547,-1.3557268073931992,US Stocks
2022-05-16,HTHT,0.6704277,-0.2861636569873154,US Stocks
2022-05-16,HLI,0.61975837,-0.3368329694644272,US Stocks
2022-05-17,GLOB,-0.7864656,-1.8252434989076782,US Stocks
2022-05-17,APPF,1.5759375,0.5371595958608459,US Stocks
2022-05-17,KEYS,1.3679411,0.3291632274526428,US Stocks
2022-05-17,WIX,0.28025484,-0.7585230728250671,US Stocks
2022-05-18,IHI,0.00055873394,-1.0507826028371405,Sector/Theme ETFs
2022-05-18,HTHT,0.720343,-0.33099834304099796,US Stocks
2022-05-18,HLI,0.67295945,-0.3783818898702216,US Stocks
2022-05-18,HASI,0.18662703,-0.8647143064046454,US Stocks
2022-05-18,JD,-0.43262047,-1.4839618025327277,US Stocks
2022-05-18,EGP,0.4582566,-0.5930847344899726,US Stocks
2022-05-18,DHR,-0.036117435,-1.087458771278913,US Stocks
2022-05-18,AMBA,-0.17689484,-1.2282361803556037,US Stocks
2022-05-18,GOOGL,2.135714,1.084372717330401,US Stocks
2022-05-19,DG,-0.2913506,-1.3417970403810568,US Stocks
2022-05-19,PFGC,1.2561941,0.20574767740763944,US Stocks
2022-05-20,GOOG,2.0678341,1.0550474290718062,US Stocks
2022-05-20,VEEV,0.62495387,-0.38783284379348926,US Stocks
2022-05-20,MKC,-0.39503604,-1.4078227515350359,US Stocks
2022-05-23,MTCH,-0.36774892,-1.3960187773010317,US Stocks
2022-05-24,JD,-0.40334147,-1.4138487314679935,US Stocks
2022-05-24,FTAI,12.032203,11.021695461322992,US Stocks
2022-05-24,FIVN,-0.6326398,-1.643147084663184,US Stocks
2022-05-24,CHDN,-0.08705616,-1.0975634192922428,US Stocks
2022-05-24,WK,0.069716215,-0.9407910441854312,US Stocks
2022-05-24,IHI,-0.0022636056,-1.0127708649137332,Sector/Theme ETFs
2022-05-24,RH,-0.50610924,-1.5166164969899967,US Stocks
2022-05-26,ASND,1.7896159,0.8657240513011328,US Stocks
2022-05-31,APPF,1.1539736,0.20344907327201445,US Stocks
2022-06-01,IHI,-0.028211951,-0.9422856202137666,Sector/Theme ETFs
2022-06-01,HACK,1.4347057,0.5206320652949614,Sector/Theme ETFs
2022-06-01,HLI,0.6242616,-0.2898120512974458,US Stocks
2022-06-01,EPAM,-0.66305286,-1.577126525880118,US Stocks
2022-06-03,EPAM,-0.647174,-1.5872778044607065,US Stocks
2022-06-03,HLI,0.64534116,-0.29476264580744727,US Stocks
2022-06-03,KEYS,1.1962764,0.25617262259465234,US Stocks
2022-06-03,NOW,0.4193771,-0.5207267151739023,US Stocks
2022-06-03,IHI,-0.0046966076,-0.944800411310377,Sector/Theme ETFs
2022-06-03,ARKQ,1.1707754,0.23067160979252832,Sector/Theme ETFs
2022-06-03,MKC,-0.38229346,-1.3223972664739512,US Stocks
2022-06-03,PAYC,-0.22568357,-1.1657873736287974,US Stocks
2022-06-06,APPF,1.2401497,0.3184794276285301,US Stocks
2022-06-08,BBY,0.5182575,-0.47186642858162564,US Stocks
2022-06-08,CRL,0.21133316,-0.7787907716907565,US Stocks
2022-06-08,EPAM,-0.62991154,-1.6200354692615573,US Stocks
2022-06-08,HLI,0.72310567,-0.2670182583011691,US Stocks
